dataset,sampling,model,best_params,F1 Score,Precision,Recall,Balanced accuracy,elapsed_time
1,none,Random Forest,"{'n_estimators': 200, 'max_depth': 20}",0.760476400529334,0.8941908713692946,0.6615502686108979,0.8266565846809638,25.717291116714478
1,none,Bagging,{'n_estimators': 100},0.7836456558773425,0.8803827751196173,0.7060629316960859,0.8479842236611739,46.843470335006714
1,none,Boosting,"{'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}",0.7007695789950203,0.8543046357615894,0.5940138142747505,0.7916770193880416,23.755266666412354
1,none,Penalized Logistic Regression,"{'C': 20, 'max_iter': 10000}",0.6531365313653137,0.8184971098265896,0.5433614735226401,0.7653414005746124,16.829136610031128
1,none,Simple Decision Tree,{'max_depth': 10},0.7115059221658206,0.7926484448633365,0.6454336147352264,0.8138336611187236,0.734039306640625
1,none,XGBoost,"{'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}",0.7017225747960109,0.8571428571428571,0.5940138142747505,0.7917981532005264,1.9360449314117432
1,none,Stacking,{},0.7830508474576271,0.8741721854304636,0.7091327705295472,0.8491961195779449,15.400101900100708
2,undersampling,Random Forest,"{'n_estimators': 200, 'max_depth': 20}",0.627630868861306,0.49113175675675674,0.8692077727952168,0.885810559543057,8.587806224822998
2,undersampling,Bagging,{'n_estimators': 50},0.6169761273209549,0.47820723684210525,0.8692077727952168,0.8832190467474625,6.161081314086914
2,undersampling,Boosting,"{'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}",0.5825441515229076,0.44297391981315687,0.8505231689088192,0.8673169780404154,6.048075914382935
2,undersampling,Penalized Logistic Regression,"{'C': 30, 'max_iter': 10000}",0.5446892795246349,0.4072565716401333,0.8221225710014948,0.8462329732234555,4.272069454193115
2,undersampling,Simple Decision Tree,{'max_depth': None},0.4784263959390863,0.33362831858407077,0.8452914798206278,0.8311734367033168,0.24700045585632324
2,undersampling,XGBoost,"{'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}",0.5845995364408962,0.44597249508840864,0.8482810164424515,0.8670462419432861,0.8680384159088135
2,undersampling,Stacking,{},0.6359196961475855,0.4991482112436116,0.8759342301943199,0.8903480674781123,5.200077772140503
3,oversampling,Random Forest,"{'n_estimators': 200, 'max_depth': 20}",0.7629832096837172,0.8336177474402731,0.7033837293016558,0.8437631015378735,62.531620502471924
3,oversampling,Bagging,{'n_estimators': 100},0.7601417881055533,0.8391304347826087,0.6947444204463643,0.8398500503467896,155.17350602149963
3,oversampling,Boosting,"{'learning_rate': 0.2, 'n_estimators': 100, 'max_depth': 3}",0.711144806671721,0.7510008006405124,0.6753059755219583,0.8250076271039083,81.53479862213135
3,oversampling,Penalized Logistic Regression,"{'C': 40, 'max_iter': 10000}",0.561491935483871,0.4319503683598294,0.8020158387329014,0.8414405452101524,43.31043887138367
3,oversampling,Simple Decision Tree,{'max_depth': 10},0.6778242677824268,0.6572008113590264,0.6997840172786177,0.8292772245456275,2.442049503326416
3,oversampling,XGBoost,"{'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}",0.6803105151729005,0.6671280276816609,0.6940244780417567,0.8274546233422575,4.040060758590698
3,oversampling,Stacking,{},0.7659409020217729,0.8326289095519864,0.709143268538517,0.8465208901853356,37.24639654159546
4,cost_sensitive,Random Forest,"{'n_estimators': 50, 'max_depth': 10}",0.6795107033639144,0.5928495197438634,0.7958452722063037,0.8668811389509956,14.990132093429565
4,cost_sensitive,Bagging,{'n_estimators': 100},0.7422334172963896,0.896551724137931,0.6332378223495702,0.8124691959591626,38.11640667915344
4,cost_sensitive,Boosting,"{'learning_rate': 0.2, 'n_estimators': 100, 'max_depth': 3}",0.702656383890317,0.8742004264392325,0.5873925501432665,0.7888956241359132,23.04726552963257
4,cost_sensitive,Penalized Logistic Regression,"{'C': 20, 'max_iter': 10000}",0.5495958853783982,0.4175660588016375,0.8037249283667621,0.8381928140613306,23.886272192001343
4,cost_sensitive,Simple Decision Tree,{'max_depth': 10},0.6353529738743746,0.5190735694822888,0.8187679083094556,0.8663001461807652,0.7230381965637207
4,cost_sensitive,XGBoost,"{'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}",0.6184486373165619,0.48760330578512395,0.8452722063037249,0.8721885848442954,1.9440500736236572
4,cost_sensitive,Stacking,{},0.7056428155904596,0.5940254652301665,0.8689111747851003,0.9007289803949912,16.93021583557129
